ppd_id,PlanName,fy,Asset_Cumulative,Risky_to_Safe_Asset_Ratio,Risky_Total_Asset_Ratio,Board_Size,Board_Appointed,Board_Ex_Officio,Board_Elected,Board_Plan_Participants,Board_Ratio_Participants_Total,Board_Ratio_Participants_Elected_Total,Board_Exofficio_Only,Board_Appointed_Only,Active_Total_Member_Ratio,Beneficiary_Member_Ratio,Beneficiary_Taxpayer_Ratio
2,Alabama Teachers,2012,1.0000,2.4106,0.7068,14,0,4,10,10,0.7143,0.7143,0,0,0.5689,0.3521,0.0172
2,Alabama Teachers,2013,1.0000,3.0016,0.7501,14,0,4,10,10,0.7143,0.7143,0,0,0.5661,0.3647,0.0178
2,Alabama Teachers,2014,1.0000,3.2141,0.7627,14,0,4,10,10,0.7143,0.7143,0,0,0.5057,0.3252,0.0179
2,Alabama Teachers,2015,1.0000,2.7736,0.7350,14,0,4,10,10,0.7143,0.7143,0,0,,,0.0000
3,Alaska PERS,2001,1.0000,2.1666,0.6842,9,7,2,0,5,0.5556,0.0000,1,0,0.4893,0.2454,0.0257
3,Alaska PERS,2002,1.0000,1.8137,0.6446,9,7,2,0,5,0.5556,0.0000,1,0,0.4928,0.2552,0.0268
3,Alaska PERS,2003,1.0000,2.0111,0.6679,9,7,2,0,5,0.5556,0.0000,1,0,0.4927,0.2666,0.0283
3,Alaska PERS,2004,1.0000,2.2605,0.6933,9,7,2,0,5,0.5556,0.0000,1,0,0.4733,0.2756,0.0296
3,Alaska PERS,2005,1.0000,2.6245,0.7241,9,7,2,0,5,0.5556,0.0000,1,0,0.4602,0.2824,0.0309
3,Alaska PERS,2006,1.0000,2.9573,0.7473,9,7,2,0,5,0.5556,0.0000,1,0,0.4463,0.2869,0.0323
3,Alaska PERS,2007,1.0000,3.6232,0.7837,9,7,2,0,5,0.5556,0.0000,1,0,0.4145,0.3040,0.0337
3,Alaska PERS,2008,1.0000,3.7664,0.7902,9,7,2,0,5,0.5556,0.0000,1,0,0.3873,0.3233,0.0350
3,Alaska PERS,2009,1.0000,5.0753,0.8354,9,7,2,0,5,0.5556,0.0000,1,0,0.3737,0.3391,0.0358
3,Alaska PERS,2010,1.0000,3.9751,0.7990,9,7,2,0,5,0.5556,0.0000,1,0,0.3599,0.3571,0.0367
3,Alaska PERS,2011,1.0000,4.7904,0.8273,9,7,2,0,5,0.5556,0.0000,1,0,0.3379,0.3790,0.0379
3,Alaska PERS,2012,1.0000,4.5679,0.8204,9,7,2,0,5,0.5556,0.0000,1,0,0.3196,0.4013,0.0390
3,Alaska PERS,2013,1.0000,5.9348,0.8558,9,7,2,0,5,0.5556,0.0000,1,0,0.2985,0.4254,0.0405
3,Alaska PERS,2014,1.0000,5.5274,0.8468,9,7,2,0,5,0.5556,0.0000,1,0,0.2785,0.4490,0.0422
3,Alaska PERS,2015,1.0000,6.3260,0.8635,9,7,2,0,5,0.5556,0.0000,1,0,,,0.0000
4,Alaska Teachers,2001,1.0000,2.1566,0.6832,9,7,2,0,5,0.5556,0.0000,1,0,0.4878,0.3644,0.0116
4,Alaska Teachers,2002,1.0000,1.8011,0.6430,9,7,2,0,5,0.5556,0.0000,1,0,0.4676,0.3766,0.0121
4,Alaska Teachers,2003,1.0000,1.9913,0.6657,9,7,2,0,5,0.5556,0.0000,1,0,0.4653,0.3917,0.0128
4,Alaska Teachers,2004,1.0000,2.2331,0.6907,9,7,2,0,5,0.5556,0.0000,1,0,0.4431,0.3982,0.0132
4,Alaska Teachers,2005,1.0000,2.5932,0.7217,9,7,2,0,5,0.5556,0.0000,1,0,0.4315,0.4031,0.0135
4,Alaska Teachers,2006,1.0000,2.9386,0.7461,9,7,2,0,5,0.5556,0.0000,1,0,0.4226,0.4085,0.0139
4,Alaska Teachers,2007,1.0000,3.6062,0.7829,9,7,2,0,5,0.5556,0.0000,1,0,0.4016,0.4268,0.0142
4,Alaska Teachers,2008,1.0000,3.8972,0.7958,9,7,2,0,5,0.5556,0.0000,1,0,0.3808,0.4476,0.0146
4,Alaska Teachers,2009,1.0000,5.2657,0.8404,9,7,2,0,5,0.5556,0.0000,1,0,0.3706,0.4620,0.0147
4,Alaska Teachers,2010,1.0000,4.0659,0.8026,9,7,2,0,5,0.5556,0.0000,1,0,0.3550,0.4804,0.0148
4,Alaska Teachers,2011,1.0000,4.9312,0.8314,9,7,2,0,5,0.5556,0.0000,1,0,0.3343,0.5043,0.0152
4,Alaska Teachers,2012,1.0000,4.5310,0.8192,9,7,2,0,5,0.5556,0.0000,1,0,0.3173,0.5238,0.0155
4,Alaska Teachers,2013,1.0000,5.9204,0.8555,9,7,2,0,5,0.5556,0.0000,1,0,0.2967,0.5467,0.0159
4,Alaska Teachers,2014,1.0000,5.5274,0.8468,9,7,2,0,5,0.5556,0.0000,1,0,0.2763,0.5671,0.0163
4,Alaska Teachers,2015,1.0000,6.3475,0.8639,9,7,2,0,5,0.5556,0.0000,1,0,,,0.0000
5,Arizona Public Safety Personnel,2001,1.0000,2.4507,0.7102,5,5,0,0,4,0.8000,0.0000,1,1,0.7280,0.2720,0.0011
5,Arizona Public Safety Personnel,2002,1.0000,1.9223,0.6578,5,5,0,0,4,0.8000,0.0000,1,1,0.7010,0.2990,0.0012
5,Arizona Public Safety Personnel,2003,1.0000,2.0139,0.6682,5,5,0,0,4,0.8000,0.0000,1,1,0.6834,0.3166,0.0013
5,Arizona Public Safety Personnel,2004,1.0000,3.4984,0.7777,5,5,0,0,4,0.8000,0.0000,1,1,0.6741,0.3259,0.0013
5,Arizona Public Safety Personnel,2005,1.0000,2.8595,0.7409,5,5,0,0,4,0.8000,0.0000,1,1,0.6666,0.3334,0.0014
5,Arizona Public Safety Personnel,2006,1.0000,2.8124,0.7377,5,5,0,0,4,0.8000,0.0000,1,1,0.6652,0.3348,0.0014
5,Arizona Public Safety Personnel,2007,1.0000,3.2753,0.7661,5,5,0,0,4,0.8000,0.0000,1,1,0.6752,0.3248,0.0014
5,Arizona Public Safety Personnel,2008,1.0000,2.5894,0.7214,5,5,0,0,4,0.8000,0.0000,1,1,0.6788,0.3212,0.0014
5,Arizona Public Safety Personnel,2009,1.0000,1.9958,0.6662,5,5,0,0,4,0.8000,0.0000,1,1,0.6479,0.3148,0.0015
5,Arizona Public Safety Personnel,2010,0.9952,3.9685,0.7987,5,5,0,0,4,0.8000,0.0000,1,1,0.6358,0.3281,0.0016
5,Arizona Public Safety Personnel,2011,1.0000,3.9603,0.7984,5,5,0,0,4,0.8000,0.0000,1,1,0.6077,0.3567,0.0017
5,Arizona Public Safety Personnel,2012,1.0000,5.2578,0.8402,5,5,0,0,4,0.8000,0.0000,1,1,0.5961,0.3632,0.0017
5,Arizona Public Safety Personnel,2013,1.0000,6.7761,0.8714,5,5,0,0,4,0.8000,0.0000,1,1,0.5849,0.3693,0.0018
5,Arizona Public Safety Personnel,2014,1.0000,6.4963,0.8666,5,5,0,0,4,0.8000,0.0000,1,1,0.5758,0.3756,0.0018
5,Arizona Public Safety Personnel,2015,1.0000,7.7336,0.8855,5,5,0,0,4,0.8000,0.0000,1,1,0.5572,0.3846,0.0019
6,Arizona SRS,2001,1.0000,2.8314,0.7390,9,9,0,0,4,0.4444,0.0000,1,1,0.5460,0.1794,0.0118
6,Arizona SRS,2002,1.0001,2.1040,0.6778,9,9,0,0,4,0.4444,0.0000,1,1,0.5322,0.1735,0.0119
6,Arizona SRS,2003,1.0000,1.6511,0.6228,9,9,0,0,4,0.4444,0.0000,1,1,0.5124,0.1753,0.0124
6,Arizona SRS,2004,1.0000,1.2437,0.5543,9,9,0,0,4,0.4444,0.0000,1,1,0.4944,0.1771,0.0128
6,Arizona SRS,2005,1.0000,2.3223,0.6990,9,9,0,0,4,0.4444,0.0000,1,1,0.4814,0.1788,0.0132
6,Arizona SRS,2006,1.0000,2.3557,0.7020,9,9,0,0,4,0.4444,0.0000,1,1,0.4684,0.1797,0.0135
6,Arizona SRS,2007,1.0000,2.4722,0.7120,9,9,0,0,4,0.4444,0.0000,1,1,0.4424,0.1750,0.0139
6,Arizona SRS,2008,1.0000,2.3557,0.7020,9,9,0,0,4,0.4444,0.0000,1,1,0.4327,0.1793,0.0144
6,Arizona SRS,2009,1.0000,2.3003,0.6970,9,9,0,0,4,0.4444,0.0000,1,1,0.4181,0.1863,0.0150
6,Arizona SRS,2010,1.0000,2.5411,0.7176,9,9,0,0,4,0.4444,0.0000,1,1,0.4035,0.2004,0.0165
6,Arizona SRS,2011,1.0000,2.5286,0.7166,9,9,0,0,4,0.4444,0.0000,1,1,0.3938,0.2123,0.0174
6,Arizona SRS,2012,1.0000,3.0209,0.7513,9,9,0,0,4,0.4444,0.0000,1,1,0.3828,0.2231,0.0181
6,Arizona SRS,2013,1.0000,3.0209,0.7513,9,9,0,0,4,0.4444,0.0000,1,1,0.3747,0.2314,0.0189
6,Arizona SRS,2014,0.9970,3.0528,0.7533,9,9,0,0,4,0.4444,0.0000,1,1,0.3701,0.2376,0.0194
6,Arizona SRS,2015,1.0000,2.8911,0.7430,9,9,0,0,4,0.4444,0.0000,1,1,0.3642,0.2428,0.0199
127,Arizona State Corrections Officers,2001,1.0000,2.3898,0.7050,5,5,0,0,4,0.8000,0.0000,1,1,0.8440,0.0795,0.0002
127,Arizona State Corrections Officers,2002,1.0000,1.6667,0.6250,5,5,0,0,4,0.8000,0.0000,1,1,0.8200,0.0954,0.0002
127,Arizona State Corrections Officers,2003,1.0000,1.9240,0.6580,5,5,0,0,4,0.8000,0.0000,1,1,0.8550,0.1063,0.0002
127,Arizona State Corrections Officers,2004,1.0000,3.2918,0.7670,5,5,0,0,4,0.8000,0.0000,1,1,0.8417,0.1116,0.0003
127,Arizona State Corrections Officers,2005,1.0000,2.8023,0.7370,5,5,0,0,4,0.8000,0.0000,1,1,0.8184,0.1207,0.0003
127,Arizona State Corrections Officers,2006,1.0000,2.8153,0.7379,5,5,0,0,4,0.8000,0.0000,1,1,0.7928,0.1301,0.0003
127,Arizona State Corrections Officers,2007,0.9999,3.0515,0.7532,5,5,0,0,4,0.8000,0.0000,1,1,0.7889,0.1310,0.0003
127,Arizona State Corrections Officers,2008,0.9999,2.4515,0.7103,5,5,0,0,4,0.8000,0.0000,1,1,0.7735,0.1276,0.0004
127,Arizona State Corrections Officers,2009,1.0000,1.9949,0.6661,5,5,0,0,4,0.8000,0.0000,1,1,0.7819,0.1389,0.0004
127,Arizona State Corrections Officers,2010,0.9952,3.9685,0.7987,5,5,0,0,4,0.8000,0.0000,1,1,0.7605,0.1545,0.0005
127,Arizona State Corrections Officers,2011,1.0000,3.9603,0.7984,5,5,0,0,4,0.8000,0.0000,1,1,0.7617,0.1703,0.0005
127,Arizona State Corrections Officers,2012,0.9999,5.2533,0.8401,5,5,0,0,4,0.8000,0.0000,1,1,0.7661,0.1776,0.0005
127,Arizona State Corrections Officers,2013,1.0000,6.7761,0.8714,5,5,0,0,4,0.8000,0.0000,1,1,0.7398,0.1880,0.0006
127,Arizona State Corrections Officers,2014,1.0000,6.4963,0.8666,5,5,0,0,4,0.8000,0.0000,1,1,0.7164,0.2008,0.0006
127,Arizona State Corrections Officers,2015,1.0000,7.7336,0.8855,5,5,0,0,4,0.8000,0.0000,1,1,0.6783,0.2109,0.0006
7,Arkansas PERS,2001,1.0000,1.3041,0.5660,9,6,3,0,6,0.6667,0.0000,1,0,0.6381,0.2496,0.0062
7,Arkansas PERS,2002,1.0000,1.2831,0.5620,9,6,3,0,6,0.6667,0.0000,1,0,0.6179,0.2597,0.0066
7,Arkansas PERS,2003,1.0000,1.5641,0.6100,9,6,3,0,6,0.6667,0.0000,1,0,0.6067,0.2665,0.0069
7,Arkansas PERS,2004,1.0000,3.4444,0.7750,9,6,3,0,6,0.6667,0.0000,1,0,0.5922,0.2748,0.0072
7,Arkansas PERS,2005,1.0000,3.5662,0.7810,9,6,3,0,6,0.6667,0.0000,1,0,0.5781,0.2838,0.0076
7,Arkansas PERS,2006,1.0000,4.0761,0.8030,9,6,3,0,6,0.6667,0.0000,1,0,0.5679,0.2906,0.0079
7,Arkansas PERS,2007,1.0000,4.4348,0.8160,9,6,3,0,6,0.6667,0.0000,1,0,0.5614,0.2884,0.0079
7,Arkansas PERS,2008,1.0000,3.9677,0.7987,9,6,3,0,6,0.6667,0.0000,1,0,0.5552,0.2948,0.0082
7,Arkansas PERS,2009,1.0000,3.0816,0.7550,9,6,3,0,6,0.6667,0.0000,1,0,0.5453,0.3046,0.0086
7,Arkansas PERS,2010,1.0000,3.2373,0.7640,9,6,3,0,6,0.6667,0.0000,1,0,0.5422,0.3091,0.0089
7,Arkansas PERS,2011,1.0000,3.9751,0.7990,9,6,3,0,6,0.6667,0.0000,1,0,0.5239,0.3265,0.0096
7,Arkansas PERS,2012,1.0000,3.4248,0.7740,9,6,3,0,6,0.6667,0.0000,1,0,0.5204,0.3317,0.0099
7,Arkansas PERS,2013,1.0100,4.6111,0.8218,9,6,3,0,6,0.6667,0.0000,1,0,0.5107,0.3411,0.0103
7,Arkansas PERS,2014,1.0000,5.3694,0.8430,9,6,3,0,6,0.6667,0.0000,1,0,0.5023,0.3497,0.0108
7,Arkansas PERS,2015,1.0000,5.0976,0.8360,9,6,3,0,6,0.6667,0.0000,1,0,0.4945,0.3580,0.0111
8,Arkansas Teachers,2001,1.0000,1.7100,0.6310,15,0,4,11,10,0.6667,0.7333,0,0,0.6856,0.1986,0.0066
8,Arkansas Teachers,2002,1.0000,1.8902,0.6540,15,0,4,11,10,0.6667,0.7333,0,0,0.6697,0.2073,0.0071
8,Arkansas Teachers,2003,1.0000,2.6232,0.7240,15,0,4,11,10,0.6667,0.7333,0,0,0.6554,0.2128,0.0074
8,Arkansas Teachers,2004,1.0000,3.3478,0.7700,15,0,4,11,10,0.6667,0.7333,0,0,0.6445,0.2186,0.0078
8,Arkansas Teachers,2005,1.0000,3.2373,0.7640,15,0,4,11,10,0.6667,0.7333,0,0,0.6426,0.2215,0.0082
8,Arkansas Teachers,2006,1.0000,3.2735,0.7660,15,0,4,11,10,0.6667,0.7333,0,0,0.6363,0.2270,0.0086
8,Arkansas Teachers,2007,1.0000,3.3478,0.7700,15,0,4,11,10,0.6667,0.7333,0,0,0.6280,0.2323,0.0090
8,Arkansas Teachers,2008,0.9990,2.6593,0.7267,15,0,4,11,10,0.6667,0.7333,0,0,0.6194,0.2366,0.0093
8,Arkansas Teachers,2009,1.0010,2.6801,0.7283,15,0,4,11,10,0.6667,0.7333,0,0,0.6098,0.2487,0.0100
8,Arkansas Teachers,2010,1.0000,2.7736,0.7350,15,0,4,11,10,0.6667,0.7333,0,0,0.6051,0.2563,0.0105
8,Arkansas Teachers,2011,1.0000,3.2194,0.7630,15,0,4,11,10,0.6667,0.7333,0,0,0.6188,0.2747,0.0109
8,Arkansas Teachers,2012,1.0010,3.6776,0.7862,15,0,4,11,10,0.6667,0.7333,0,0,0.5815,0.2790,0.0116
8,Arkansas Teachers,2013,1.0000,4.3763,0.8140,15,0,4,11,10,0.6667,0.7333,0,0,0.5888,0.3021,0.0123
8,Arkansas Teachers,2014,1.0000,4.9172,0.8310,15,0,4,11,10,0.6667,0.7333,0,0,0.5843,0.3178,0.0129
8,Arkansas Teachers,2015,0.0000,,,15,0,4,11,10,0.6667,0.7333,0,0,0.5470,0.3548,0.0150
9,California PERF,2001,1.0000,2.4317,0.7086,13,3,4,6,6,0.4615,0.4615,0,0,0.5849,0.2872,0.0107
9,California PERF,2002,1.0000,2.3190,0.6987,13,3,4,6,6,0.4615,0.4615,0,0,0.5835,0.2799,0.0109
9,California PERF,2003,1.0000,2.6832,0.7285,13,3,4,6,6,0.4615,0.4615,0,0,0.5740,0.2809,0.0112
9,California PERF,2004,1.0000,2.7736,0.7350,13,3,4,6,6,0.4615,0.4615,0,0,0.5680,0.2920,0.0116
9,California PERF,2005,1.0000,2.4542,0.7105,13,3,4,6,6,0.4615,0.4615,0,0,0.5473,0.2948,0.0119
9,California PERF,2006,1.0000,2.9825,0.7489,13,3,4,6,6,0.4615,0.4615,0,0,0.5419,0.2961,0.0123
9,California PERF,2007,1.0000,2.9573,0.7473,13,3,4,6,6,0.4615,0.4615,0,0,0.5334,0.2952,0.0126
9,California PERF,2008,1.0000,2.7010,0.7298,13,3,4,6,6,0.4615,0.4615,0,0,0.5247,0.2940,0.0128
9,California PERF,2009,1.0000,1.8877,0.6537,13,3,4,6,6,0.4615,0.4615,0,0,0.5071,0.2995,0.0131
9,California PERF,2010,1.0000,2.2383,0.6912,13,3,4,6,6,0.4615,0.4615,0,0,0.4959,0.3119,0.0135
9,California PERF,2011,1.0000,2.9216,0.7450,13,3,4,6,6,0.4615,0.4615,0,0,0.4849,0.3238,0.0140
9,California PERF,2012,1.0000,3.2918,0.7670,13,3,4,6,6,0.4615,0.4615,0,0,0.4778,0.3303,0.0143
9,California PERF,2013,1.0000,3.3290,0.7690,13,3,4,6,6,0.4615,0.4615,0,0,0.4545,0.3393,0.0148
9,California PERF,2014,1.0000,2.7037,0.7300,13,3,4,6,6,0.4615,0.4615,0,0,0.3945,0.3882,0.0187
9,California PERF,2015,1.0000,2.4483,0.7100,13,3,4,6,6,0.4615,0.4615,0,0,0.4784,0.3366,0.0156
10,California Teachers,2001,1.0000,2.4247,0.7080,12,5,4,3,4,0.3333,0.2500,0,0,0.6242,0.2489,0.0050
10,California Teachers,2002,1.0000,2.4130,0.7070,12,5,4,3,4,0.3333,0.2500,0,0,0.6181,0.2475,0.0051
10,California Teachers,2003,1.0000,2.4014,0.7060,12,5,4,3,4,0.3333,0.2500,0,0,0.6102,0.2475,0.0052
10,California Teachers,2004,1.0000,3.0984,0.7560,12,5,4,3,4,0.3333,0.2500,0,0,0.5897,0.2563,0.0054
10,California Teachers,2005,1.0000,2.9526,0.7470,12,5,4,3,4,0.3333,0.2500,0,0,0.5803,0.2594,0.0056
10,California Teachers,2006,1.0000,3.4843,0.7770,12,5,4,3,4,0.3333,0.2500,0,0,0.5704,0.2615,0.0058
10,California Teachers,2007,1.0000,3.8544,0.7940,12,5,4,3,4,0.3333,0.2500,0,0,0.5607,0.2653,0.0060
10,California Teachers,2008,1.0000,4.1282,0.8050,12,5,4,3,4,0.3333,0.2500,0,0,0.5536,0.2688,0.0061
10,California Teachers,2009,1.0000,3.4248,0.7740,12,5,4,3,4,0.3333,0.2500,0,0,0.5414,0.2744,0.0063
10,California Teachers,2010,1.0000,3.4053,0.7730,12,5,4,3,4,0.3333,0.2500,0,0,0.5181,0.2860,0.0065
10,California Teachers,2011,1.0000,4.4645,0.8170,12,5,4,3,4,0.3333,0.2500,0,0,0.5017,0.2955,0.0067
10,California Teachers,2012,1.0000,3.9751,0.7990,12,5,4,3,4,0.3333,0.2500,0,0,0.4889,0.3039,0.0069
10,California Teachers,2013,1.0000,4.4348,0.8160,12,5,4,3,4,0.3333,0.2500,0,0,0.4797,0.3100,0.0070
10,California Teachers,2014,1.0000,4.5556,0.8200,12,5,4,3,4,0.3333,0.2500,0,0,0.4786,0.3135,0.0071
10,California Teachers,2015,1.0000,4.7143,0.8250,12,5,4,3,4,0.3333,0.2500,0,0,0.4793,0.3149,0.0072
111,University of California,2001,1.0000,1.4752,0.5960,0,0,0,0,0,,,1,1,0.6546,0.2067,0.0010
111,University of California,2002,1.0000,1.6385,0.6210,0,0,0,0,0,,,1,1,0.6575,0.2019,0.0010
111,University of California,2003,1.0000,2.0303,0.6700,0,0,0,0,0,,,1,1,0.6371,0.1988,0.0011
111,University of California,2004,1.0000,2.0675,0.6740,0,0,0,0,0,,,1,1,0.6085,0.1954,0.0011
111,University of California,2005,1.0000,1.9499,0.6610,0,0,0,0,0,,,1,1,0.5845,0.1945,0.0012
111,University of California,2006,1.0000,2.4843,0.7130,0,0,0,0,0,,,1,1,0.5552,0.2063,0.0013
111,University of California,2007,1.0000,2.7313,0.7320,0,0,0,0,0,,,1,1,0.5269,0.2113,0.0013
111,University of California,2008,1.0000,2.4364,0.7090,0,0,0,0,0,,,1,1,0.4989,0.2191,0.0014
111,University of California,2009,1.0000,3.0486,0.7530,0,0,0,0,0,,,1,1,0.5207,0.2324,0.0014
111,University of California,2010,1.0000,2.7037,0.7300,0,0,0,0,0,,,1,1,0.5134,0.2408,0.0014
111,University of California,2011,1.0000,3.1667,0.7600,0,0,0,0,0,,,1,1,0.4965,0.2419,0.0015
111,University of California,2012,1.0000,3.0000,0.7500,0,0,0,0,0,,,1,1,0.4807,0.2424,0.0015
111,University of California,2013,1.0000,3.1667,0.7600,0,0,0,0,0,,,1,1,0.4665,0.2433,0.0016
111,University of California,2014,1.0000,3.3478,0.7700,0,0,0,0,0,,,1,1,0.4585,0.2441,0.0017
111,University of California,2015,1.0000,3.3478,0.7700,0,0,0,0,0,,,1,1,0.4648,0.2528,0.0017
13,Colorado Municipal,2001,1.0000,6.8740,0.8730,15,3,1,11,11,0.7333,0.7333,0,0,0.5173,0.1180,0.0006
13,Colorado Municipal,2002,1.0000,5.4516,0.8450,15,3,1,11,11,0.7333,0.7333,0,0,0.5093,0.1197,0.0007
13,Colorado Municipal,2003,1.0000,3.8309,0.7930,15,3,1,11,11,0.7333,0.7333,0,0,0.4972,0.1228,0.0007
13,Colorado Municipal,2004,1.0000,3.2918,0.7670,15,3,1,11,11,0.7333,0.7333,0,0,0.5216,0.1142,0.0007
13,Colorado Municipal,2005,1.0000,3.1667,0.7600,15,3,1,11,11,0.7333,0.7333,0,0,0.4996,0.1149,0.0008
13,Colorado Municipal,2006,1.0000,3.1322,0.7580,15,3,1,11,11,0.7333,0.7333,0,0,0.4805,0.1155,0.0008
13,Colorado Municipal,2007,1.0000,3.0650,0.7540,15,3,1,11,11,0.7333,0.7333,0,0,0.4741,0.1148,0.0008
13,Colorado Municipal,2008,1.0000,2.4364,0.7090,15,3,1,11,11,0.7333,0.7333,0,0,0.4565,0.1155,0.0009
13,Colorado Municipal,2009,1.0000,3.2373,0.7640,15,3,1,11,11,0.7333,0.7333,0,0,0.4212,0.1222,0.0009
13,Colorado Municipal,2010,1.0000,3.2553,0.7650,15,3,1,11,11,0.7333,0.7333,0,0,0.4094,0.1287,0.0010
13,Colorado Municipal,2011,1.0000,3.0816,0.7550,15,3,1,11,11,0.7333,0.7333,0,0,0.3962,0.1312,0.0010
13,Colorado Municipal,2012,1.0000,3.1322,0.7580,15,3,1,11,11,0.7333,0.7333,0,0,0.2938,0.1433,0.0011
13,Colorado Municipal,2013,1.0000,3.1322,0.7580,15,3,1,11,11,0.7333,0.7333,0,0,0.2896,0.1494,0.0012
13,Colorado Municipal,2014,1.0000,2.8760,0.7420,15,3,1,11,11,0.7333,0.7333,0,0,0.2857,0.1529,0.0012
13,Colorado Municipal,2015,1.0000,2.9216,0.7450,15,3,1,11,11,0.7333,0.7333,0,0,0.2789,0.1552,0.0012
14,Colorado School,2001,1.0000,6.8740,0.8730,15,3,1,11,11,0.7333,0.7333,0,0,0.5290,0.1844,0.0124
14,Colorado School,2002,1.0000,5.4516,0.8450,15,3,1,11,11,0.7333,0.7333,0,0,0.5191,0.1862,0.0127
14,Colorado School,2003,1.0000,3.8309,0.7930,15,3,1,11,11,0.7333,0.7333,0,0,0.4984,0.1911,0.0133
14,Colorado School,2004,1.0000,3.2918,0.7670,15,3,1,11,11,0.7333,0.7333,0,0,0.4870,0.1941,0.0140
14,Colorado School,2005,1.0000,3.1667,0.7600,15,3,1,11,11,0.7333,0.7333,0,0,0.5068,0.1822,0.0086
14,Colorado School,2006,1.0000,3.1322,0.7580,15,3,1,11,11,0.7333,0.7333,0,0,0.4930,0.1833,0.0089
14,Colorado School,2007,1.0000,3.0650,0.7540,15,3,1,11,11,0.7333,0.7333,0,0,0.4823,0.1828,0.0091
14,Colorado School,2008,1.0000,2.4364,0.7090,15,3,1,11,11,0.7333,0.7333,0,0,0.4726,0.1831,0.0093
